Folder,Spectrogram1,Spectrogram2,Similarity
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipad_office1.wav.png,0.457275
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_ipadflat_office1.wav.png,0.62639
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_iphone_bedroom1.wav.png,0.5240575000000001
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipad_office1.wav.png,0.476615
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_ipad_office2.wav.png,0.5849249999999999
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipadflat_confroom1.wav.png,0.6087275
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_iphone_balcony1.wav.png,0.49965250000000005
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_iphone_bedroom1.wav.png,0.5714825
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_ipad_balcony1.wav.png,0.44967250000000003
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_ipadflat_confroom1.wav.png,0.5723
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_ipad_bedroom1.wav.png,0.6091150000000001
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_iphone_balcony1.wav.png,0.498645
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipad_livingroom1.wav.png,0.6239049999999999
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_iphone_livingroom1.wav.png,0.53898
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_iphone_balcony1.wav.png,0.49511249999999996
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_ipad_bedroom1.wav.png,0.8833775
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipadflat_confroom1.wav.png,0.5510325
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipad_office2.wav.png,0.5689025
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_iphone_bedroom1.wav.png,0.6073275
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_ipad_livingroom1.wav.png,0.9178025
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_iphone_livingroom1.wav.png,0.5398075
m8,m8_script3_ipad_confroom2.wav.png,m8_script4_ipad_office2.wav.png,0.5306875
m8,m8_script3_ipad_confroom2.wav.png,m8_script5_ipad_office1.wav.png,0.4827475
