"","Folder","Spectrogram1","Spectrogram2","Similarity"
"31912","f7","f7_script5_ipad_bedroom1.wav.png","f7_script5_ipadflat_office1.wav.png",0.9119925
"20524","f5","f5_script3_ipadflat_confroom1.wav.png","f5_script3_iphone_livingroom1.wav.png",0.911975
"39888","f1","f10_script3_ipadflat_confroom1.wav.png","f10_script3_iphone_livingroom1.wav.png",0.91193
"38727","f1","f1_script3_ipad_confroom2.wav.png","f1_script3_ipad_confroom1.wav.png",0.911905
"41034","f8","f8_script4_ipad_confroom1.wav.png","f8_script4_ipad_bedroom1.wav.png",0.9118975
"6353","m1","m1_script3_ipadflat_confroom1.wav.png","m1_script3_ipad_office2.wav.png",0.911885
"130","m8","m8_script1_ipad_livingroom1.wav.png","m8_script1_ipad_confroom2.wav.png",0.9118725
"9659","m6","m6_script5_ipadflat_confroom1.wav.png","m6_script5_ipad_office2.wav.png",0.9117925
"16094","f3","f3_script5_ipad_office2.wav.png","f3_script5_ipad_livingroom1.wav.png",0.911765
"26004","m3","m3_script5_ipad_bedroom1.wav.png","m3_script5_ipad_office2.wav.png",0.91176
"27240","m4","m4_script2_iphone_balcony1.wav.png","m4_script2_ipad_balcony1.wav.png",0.9117575
"23329","m2","m2_script1_iphone_livingroom1.wav.png","m2_script1_ipadflat_confroom1.wav.png",0.911715
"36026","f1","f10_script5_ipad_office1.wav.png","f10_script5_ipad_confroom2.wav.png",0.911695
"41085","f8","f8_script2_ipad_bedroom1.wav.png","f8_script2_ipad_confroom1.wav.png",0.9115825
"10219","m6","m6_script4_ipad_office1.wav.png","m6_script4_ipad_confroom2.wav.png",0.9114975
"33227","f6","f6_script2_ipadflat_confroom1.wav.png","f6_script2_ipad_livingroom1.wav.png",0.911415
"24992","m3","m3_script3_ipad_confroom1.wav.png","m3_script3_ipad_livingroom1.wav.png",0.9113925
"22662","m5","m5_script4_iphone_livingroom1.wav.png","m5_script4_ipadflat_confroom1.wav.png",0.9113725
"24709","m2","m2_script3_ipadflat_confroom1.wav.png","m2_script3_iphone_livingroom1.wav.png",0.91137
"39554","f1","f10_script5_ipad_confroom2.wav.png","f10_script5_ipad_confroom1.wav.png",0.9113425
"3911","m1","m10_script5_iphone_bedroom1.wav.png","m10_script5_ipad_bedroom1.wav.png",0.91131
"22826","m5","m5_script1_ipad_livingroom1.wav.png","m5_script1_ipadflat_office1.wav.png",0.9112975
"624","m8","m8_script5_ipad_confroom1.wav.png","m8_script5_ipad_bedroom1.wav.png",0.911255
"28528","f9","f9_script5_iphone_bedroom1.wav.png","f9_script5_iphone_livingroom1.wav.png",0.911225
"15772","f4","f4_script5_ipad_office2.wav.png","f4_script5_ipad_livingroom1.wav.png",0.91118
"26380","m3","m3_script2_ipad_bedroom1.wav.png","m3_script2_ipadflat_confroom1.wav.png",0.9111375
"21709","m5","m5_script3_ipad_office1.wav.png","m5_script3_ipad_bedroom1.wav.png",0.9110875
"25285","m3","m3_script2_ipad_confroom2.wav.png","m3_script2_ipad_office1.wav.png",0.91104
"29958","f9","f9_script1_ipadflat_confroom1.wav.png","f9_script1_iphone_livingroom1.wav.png",0.91101
"11178","m7","m7_script4_ipad_livingroom1.wav.png","m7_script4_ipad_office2.wav.png",0.9108675
"16446","f3","f3_script3_ipad_confroom2.wav.png","f3_script3_ipad_confroom1.wav.png",0.9107725
"12440","m7","m7_script2_ipad_confroom1.wav.png","m7_script2_ipad_livingroom1.wav.png",0.9107675
"9681","m6","m6_script5_ipadflat_confroom1.wav.png","m6_script5_iphone_bedroom1.wav.png",0.910765
"10130","m6","m6_script1_ipad_office1.wav.png","m6_script1_ipad_bedroom1.wav.png",0.9106825
"12420","m7","m7_script1_ipad_confroom1.wav.png","m7_script1_ipad_bedroom1.wav.png",0.91061
"41356","f8","f8_script3_ipad_confroom1.wav.png","f8_script3_ipad_bedroom1.wav.png",0.9105975
"11900","m7","m7_script5_iphone_livingroom1.wav.png","m7_script5_ipad_bedroom1.wav.png",0.910565
"12529","m9","m9_script4_ipad_confroom1.wav.png","m9_script4_ipad_office1.wav.png",0.91044
"40271","f1","f10_script3_ipad_confroom2.wav.png","f10_script3_ipad_office1.wav.png",0.91039
"759","m8","m8_script1_ipadflat_confroom1.wav.png","m8_script1_iphone_bedroom1.wav.png",0.9103725
"15355","f4","f4_script4_ipad_confroom2.wav.png","f4_script4_ipad_office2.wav.png",0.91036
"28149","m4","m4_script3_ipadflat_confroom1.wav.png","m4_script3_iphone_livingroom1.wav.png",0.910345
"7226","m1","m10_script3_ipad_confroom2.wav.png","m10_script3_ipad_confroom1.wav.png",0.9103175
"18682","f2","f2_script1_ipad_bedroom1.wav.png","f2_script1_iphone_bedroom1.wav.png",0.9102775
"10280","m6","m6_script1_ipad_confroom1.wav.png","m6_script1_ipad_bedroom1.wav.png",0.91026
"17852","f2","f2_script5_ipad_livingroom1.wav.png","f2_script5_iphone_livingroom1.wav.png",0.91025
"27566","m4","m4_script1_ipadflat_confroom1.wav.png","m4_script1_ipad_confroom2.wav.png",0.9102375
"21310","m5","m5_script1_ipadflat_confroom1.wav.png","m5_script1_ipad_confroom2.wav.png",0.91016
"31344","f7","f7_script1_ipad_confroom1.wav.png","f7_script1_ipad_confroom2.wav.png",0.9101375
"25500","m3","m3_script4_ipad_livingroom1.wav.png","m3_script4_iphone_bedroom1.wav.png",0.9100825
"33441","f6","f6_script4_iphone_livingroom1.wav.png","f6_script4_ipadflat_confroom1.wav.png",0.9100625
"34079","f1","f10_script1_iphone_livingroom1.wav.png","f10_script1_ipadflat_confroom1.wav.png",0.9100375
"1051","m8","m8_script2_ipad_bedroom1.wav.png","m8_script2_ipad_livingroom1.wav.png",0.9100325
"9494","m6","m6_script4_ipadflat_confroom1.wav.png","m6_script4_ipad_office2.wav.png",0.9100325
"23766","m2","m2_script4_ipad_office1.wav.png","m2_script4_ipad_confroom1.wav.png",0.910025
"14806","f4","f4_script5_ipadflat_confroom1.wav.png","f4_script5_ipad_livingroom1.wav.png",0.910005
"25922","m3","m3_script3_ipad_confroom2.wav.png","m3_script3_ipad_livingroom1.wav.png",0.9099625
"10888","m7","m7_script5_ipadflat_confroom1.wav.png","m7_script5_ipad_bedroom1.wav.png",0.9099575
"23927","m2","m2_script2_ipad_confroom1.wav.png","m2_script2_ipad_office1.wav.png",0.9099575
"2381","m1","m1_script4_ipad_office1.wav.png","m1_script4_ipad_office2.wav.png",0.90992
"41447","f8","f8_script5_ipad_confroom2.wav.png","f8_script5_ipad_confroom1.wav.png",0.90985
"13786","m9","m9_script1_ipadflat_confroom1.wav.png","m9_script1_iphone_bedroom1.wav.png",0.9098275
"13328","m9","m9_script4_ipad_confroom2.wav.png","m9_script4_ipad_bedroom1.wav.png",0.9098
"5903","m1","m10_script4_ipad_office2.wav.png","m10_script4_ipad_livingroom1.wav.png",0.909795
"36838","f1","f1_script2_ipad_bedroom1.wav.png","f1_script2_ipadflat_office1.wav.png",0.9097825
"11835","m7","m7_script5_ipad_office2.wav.png","m7_script5_ipad_confroom2.wav.png",0.90978
"21658","m5","m5_script5_ipad_bedroom1.wav.png","m5_script5_ipad_confroom1.wav.png",0.909715
"33386","f6","f6_script2_ipad_office1.wav.png","f6_script2_ipadflat_office1.wav.png",0.9097025
"33011","f6","f6_script1_ipad_confroom2.wav.png","f6_script1_ipad_confroom1.wav.png",0.9096875
"2889","m1","m10_script1_iphone_bedroom1.wav.png","m10_script1_ipad_bedroom1.wav.png",0.9096725
"30965","f7","f7_script4_ipad_bedroom1.wav.png","f7_script4_iphone_bedroom1.wav.png",0.9096325
"21447","m5","m5_script4_iphone_bedroom1.wav.png","m5_script4_ipad_bedroom1.wav.png",0.90962
"17313","f3","f3_script1_ipad_bedroom1.wav.png","f3_script1_iphone_bedroom1.wav.png",0.909595
"22561","m5","m5_script1_iphone_livingroom1.wav.png","m5_script1_ipadflat_office1.wav.png",0.9095925
"14641","f4","f4_script3_ipad_livingroom1.wav.png","f4_script3_ipadflat_confroom1.wav.png",0.9095775
"39831","f1","f10_script2_ipad_confroom2.wav.png","f10_script2_ipad_confroom1.wav.png",0.909555
"437","m8","m8_script4_ipad_bedroom1.wav.png","m8_script4_ipad_office2.wav.png",0.909515
"20341","f5","f5_script3_ipad_bedroom1.wav.png","f5_script3_ipad_livingroom1.wav.png",0.909415
"4254","m1","m10_script5_ipad_office2.wav.png","m10_script5_ipad_confroom2.wav.png",0.9093225
"7854","m1","m10_script4_iphone_livingroom1.wav.png","m10_script4_ipadflat_confroom1.wav.png",0.9093225
"21828","m5","m5_script3_ipadflat_office1.wav.png","m5_script3_iphone_livingroom1.wav.png",0.9092775
"13749","m9","m9_script4_ipad_bedroom1.wav.png","m9_script4_iphone_bedroom1.wav.png",0.90927
"41468","f8","f8_script5_ipad_confroom2.wav.png","f8_script5_ipad_livingroom1.wav.png",0.90927
"17874","f2","f2_script5_ipad_livingroom1.wav.png","f2_script5_ipad_office2.wav.png",0.9092675
"36273","f1","f10_script4_ipad_bedroom1.wav.png","f10_script4_iphone_bedroom1.wav.png",0.9092575
"22304","m5","m5_script1_ipad_bedroom1.wav.png","m5_script1_iphone_bedroom1.wav.png",0.909255
"9990","m6","m6_script2_ipad_office1.wav.png","m6_script2_ipad_confroom1.wav.png",0.909235
"31561","f7","f7_script5_ipad_livingroom1.wav.png","f7_script5_ipadflat_confroom1.wav.png",0.909215
"29131","f9","f9_script2_ipad_confroom1.wav.png","f9_script2_ipad_bedroom1.wav.png",0.90916
"25871","m3","m3_script5_ipad_livingroom1.wav.png","m3_script5_ipad_confroom1.wav.png",0.909155
"26643","m4","m4_script1_ipad_confroom1.wav.png","m4_script1_ipadflat_office1.wav.png",0.90914
"12617","m9","m9_script1_ipad_confroom2.wav.png","m9_script1_ipadflat_office1.wav.png",0.909085
"39649","f1","f1_script2_ipad_confroom1.wav.png","f1_script2_ipad_confroom2.wav.png",0.90908
"27300","m4","m4_script1_ipad_livingroom1.wav.png","m4_script1_iphone_livingroom1.wav.png",0.9090625
"11300","m7","m7_script5_ipad_office1.wav.png","m7_script5_ipad_bedroom1.wav.png",0.9090575
"38104","f1","f10_script1_ipad_confroom2.wav.png","f10_script1_ipad_confroom1.wav.png",0.90901
"27102","m4","m4_script3_ipad_confroom2.wav.png","m4_script3_ipad_office1.wav.png",0.908975
"16774","f3","f3_script4_ipadflat_confroom1.wav.png","f3_script4_iphone_livingroom1.wav.png",0.9089025
"28910","f9","f9_script5_ipadflat_confroom1.wav.png","f9_script5_ipad_office2.wav.png",0.9089025
"28289","m4","m4_script3_ipadflat_office1.wav.png","m4_script3_iphone_livingroom1.wav.png",0.908885
"10464","m6","m6_script5_ipadflat_office1.wav.png","m6_script5_ipad_confroom2.wav.png",0.908845
"41716","f8","f8_script4_ipadflat_confroom1.wav.png","f8_script4_ipad_livingroom1.wav.png",0.9088275
