"","Folder","Spectrogram1","Spectrogram2","Similarity"
"20410","f5","f5_script2_ipad_confroom1.wav.png","f5_script2_ipadflat_confroom1.wav.png",0.95457
"28194","m4","m4_script2_ipad_livingroom1.wav.png","m4_script2_ipad_bedroom1.wav.png",0.9544125
"6911","m1","m10_script4_iphone_bedroom1.wav.png","m10_script4_iphone_livingroom1.wav.png",0.954405
"16564","f3","f3_script5_ipad_balcony1.wav.png","f3_script5_iphone_balcony1.wav.png",0.95439
"36651","f1","f1_script2_iphone_balcony1.wav.png","f1_script2_ipad_balcony1.wav.png",0.954345
"23290","m2","m2_script2_ipadflat_office1.wav.png","m2_script2_ipad_office1.wav.png",0.9543325
"22719","m5","m5_script4_ipad_bedroom1.wav.png","m5_script4_ipad_livingroom1.wav.png",0.9539275
"5951","m1","m10_script5_ipad_office1.wav.png","m10_script5_ipadflat_office1.wav.png",0.9539175
"34552","f1","f10_script2_ipad_balcony1.wav.png","f10_script2_iphone_balcony1.wav.png",0.95385
"22549","m5","m5_script1_iphone_livingroom1.wav.png","m5_script1_iphone_bedroom1.wav.png",0.9537925
"9268","m6","m6_script3_ipad_livingroom1.wav.png","m6_script3_ipad_bedroom1.wav.png",0.9537525
"13490","m9","m9_script4_ipad_office1.wav.png","m9_script4_ipadflat_office1.wav.png",0.9537
"29558","f9","f9_script3_ipad_office2.wav.png","f9_script3_ipad_confroom1.wav.png",0.9536775
"623","m8","m8_script5_ipad_confroom1.wav.png","m8_script5_ipadflat_confroom1.wav.png",0.953425
"12453","m9","m9_script2_ipad_bedroom1.wav.png","m9_script2_ipad_livingroom1.wav.png",0.9534075
"25528","m3","m3_script4_ipad_livingroom1.wav.png","m3_script4_ipad_bedroom1.wav.png",0.9533575
"1683","m8","m8_script3_ipad_bedroom1.wav.png","m8_script3_ipad_livingroom1.wav.png",0.9532925
"26189","m3","m3_script4_iphone_bedroom1.wav.png","m3_script4_iphone_livingroom1.wav.png",0.95327
"6881","m1","m1_script5_ipad_livingroom1.wav.png","m1_script5_ipad_bedroom1.wav.png",0.9531575
"13780","m9","m9_script5_ipad_confroom1.wav.png","m9_script5_ipadflat_confroom1.wav.png",0.9530825
"32970","f6","f6_script3_iphone_balcony1.wav.png","f6_script3_ipad_balcony1.wav.png",0.953065
"26292","m3","m3_script2_iphone_balcony1.wav.png","m3_script2_ipad_balcony1.wav.png",0.953025
"27432","m4","m4_script2_ipad_confroom1.wav.png","m4_script2_ipad_office2.wav.png",0.9529275
"3658","m1","m1_script2_ipad_livingroom1.wav.png","m1_script2_ipad_bedroom1.wav.png",0.952885
"16502","f3","f3_script5_ipad_confroom1.wav.png","f3_script5_ipadflat_confroom1.wav.png",0.952815
"20730","f5","f5_script4_iphone_balcony1.wav.png","f5_script4_ipad_balcony1.wav.png",0.95281
"21270","f5","f5_script3_ipad_office1.wav.png","f5_script3_ipadflat_office1.wav.png",0.952785
"5311","m1","m1_script1_iphone_bedroom1.wav.png","m1_script1_iphone_livingroom1.wav.png",0.9526025
"23799","m2","m2_script4_ipad_office1.wav.png","m2_script4_ipadflat_office1.wav.png",0.9525975
"27430","m4","m4_script2_ipad_confroom1.wav.png","m4_script2_ipadflat_confroom1.wav.png",0.9524975
"23307","m2","m2_script1_iphone_livingroom1.wav.png","m2_script1_iphone_bedroom1.wav.png",0.952465
"6057","m1","m10_script2_iphone_bedroom1.wav.png","m10_script2_iphone_livingroom1.wav.png",0.9524325
"9490","m6","m6_script4_ipadflat_confroom1.wav.png","m6_script4_ipad_confroom1.wav.png",0.95223
"409","m8","m8_script4_ipad_bedroom1.wav.png","m8_script4_ipad_livingroom1.wav.png",0.9522175
"24308","m2","m2_script1_ipad_office2.wav.png","m2_script1_ipad_livingroom1.wav.png",0.95215
"30104","f9","f9_script3_ipad_balcony1.wav.png","f9_script3_iphone_balcony1.wav.png",0.95202
"41997","f8","f8_script4_ipad_office1.wav.png","f8_script4_ipadflat_office1.wav.png",0.9519975
"26808","m4","m4_script1_ipad_balcony1.wav.png","m4_script1_iphone_balcony1.wav.png",0.9519325
"11176","m7","m7_script4_ipad_livingroom1.wav.png","m7_script4_ipad_bedroom1.wav.png",0.95192
"22483","m5","m5_script5_ipad_confroom1.wav.png","m5_script5_ipadflat_confroom1.wav.png",0.9519175
"28956","f9","f9_script5_iphone_balcony1.wav.png","f9_script5_ipad_balcony1.wav.png",0.9518775
"27353","m4","m4_script1_iphone_livingroom1.wav.png","m4_script1_iphone_bedroom1.wav.png",0.9518
"14869","f4","f4_script3_ipad_office1.wav.png","f4_script3_ipadflat_office1.wav.png",0.951785
"23421","m2","m2_script3_ipad_confroom2.wav.png","m2_script3_ipad_bedroom1.wav.png",0.9517475
"5182","m1","m1_script5_iphone_livingroom1.wav.png","m1_script5_iphone_bedroom1.wav.png",0.9516775
"22307","m5","m5_script1_ipad_bedroom1.wav.png","m5_script1_ipad_livingroom1.wav.png",0.9515575
"1722","m8","m8_script2_iphone_bedroom1.wav.png","m8_script2_iphone_livingroom1.wav.png",0.9514675
"3748","m1","m1_script2_ipad_livingroom1.wav.png","m1_script2_ipad_confroom1.wav.png",0.95132
"40014","f1","f1_script4_ipadflat_confroom1.wav.png","f1_script4_ipad_confroom1.wav.png",0.95124
"24214","m2","m2_script1_ipad_confroom2.wav.png","m2_script1_ipad_bedroom1.wav.png",0.95123
"24459","m2","m2_script5_ipad_confroom2.wav.png","m2_script5_ipad_livingroom1.wav.png",0.95118
"15018","f4","f4_script2_ipadflat_office1.wav.png","f4_script2_ipad_office1.wav.png",0.9510925
"10764","m7","m7_script5_iphone_bedroom1.wav.png","m7_script5_iphone_livingroom1.wav.png",0.95102
"24417","m2","m2_script5_ipad_office1.wav.png","m2_script5_ipadflat_office1.wav.png",0.9508575
"32271","f6","f6_script4_ipadflat_office1.wav.png","f6_script4_ipad_office1.wav.png",0.9508275
"4615","m1","m1_script4_ipad_bedroom1.wav.png","m1_script4_ipad_confroom2.wav.png",0.9506775
"11854","m7","m7_script5_ipad_office2.wav.png","m7_script5_ipad_confroom1.wav.png",0.9506425
"2683","m1","m1_script2_ipadflat_confroom1.wav.png","m1_script2_ipad_confroom1.wav.png",0.9506375
"22423","m5","m5_script3_iphone_bedroom1.wav.png","m5_script3_iphone_livingroom1.wav.png",0.9506075
"8437","m1","m10_script3_ipad_confroom1.wav.png","m10_script3_ipadflat_confroom1.wav.png",0.9505625
"37611","f1","f10_script2_ipadflat_office1.wav.png","f10_script2_ipad_office1.wav.png",0.95056
"14760","f4","f4_script4_ipad_confroom1.wav.png","f4_script4_ipad_office2.wav.png",0.950295
"17719","f3","f3_script2_ipad_balcony1.wav.png","f3_script2_iphone_balcony1.wav.png",0.950295
"41497","f8","f8_script3_iphone_balcony1.wav.png","f8_script3_ipad_balcony1.wav.png",0.95021
"2576","m1","m1_script5_ipad_office2.wav.png","m1_script5_ipad_confroom1.wav.png",0.9501975
"32402","f6","f6_script1_ipadflat_confroom1.wav.png","f6_script1_ipad_confroom1.wav.png",0.95008
"23418","m2","m2_script3_ipad_confroom2.wav.png","m2_script3_ipad_livingroom1.wav.png",0.9499975
"7407","m1","m10_script3_iphone_livingroom1.wav.png","m10_script3_iphone_bedroom1.wav.png",0.949995
"26629","m4","m4_script1_ipad_confroom1.wav.png","m4_script1_ipadflat_confroom1.wav.png",0.949975
"21668","m5","m5_script5_ipad_bedroom1.wav.png","m5_script5_ipad_livingroom1.wav.png",0.949935
"11496","m7","m7_script1_ipad_office2.wav.png","m7_script1_ipad_confroom1.wav.png",0.9499075
"35239","f1","f1_script1_ipadflat_office1.wav.png","f1_script1_ipad_office1.wav.png",0.9498725
"11453","m7","m7_script3_iphone_livingroom1.wav.png","m7_script3_iphone_bedroom1.wav.png",0.9498625
"32824","f6","f6_script5_ipad_office2.wav.png","f6_script5_ipad_confroom1.wav.png",0.94979
"20865","f5","f5_script5_ipad_balcony1.wav.png","f5_script5_iphone_balcony1.wav.png",0.94971
"15314","f4","f4_script1_ipad_bedroom1.wav.png","f4_script1_ipad_livingroom1.wav.png",0.9496375
"7816","m1","m1_script5_ipad_confroom2.wav.png","m1_script5_ipad_bedroom1.wav.png",0.94957
"30681","f7","f7_script3_ipad_office2.wav.png","f7_script3_ipad_confroom1.wav.png",0.9495375
"17163","f3","f3_script5_ipad_office1.wav.png","f3_script5_ipadflat_office1.wav.png",0.94953
"18623","f2","f2_script4_ipadflat_office1.wav.png","f2_script4_ipad_office1.wav.png",0.9494575
"29476","f9","f9_script4_ipad_confroom1.wav.png","f9_script4_ipad_office2.wav.png",0.949445
"39213","f1","f10_script5_ipad_livingroom1.wav.png","f10_script5_ipad_bedroom1.wav.png",0.9493475
"1269","m8","m8_script3_iphone_balcony1.wav.png","m8_script3_ipad_balcony1.wav.png",0.949295
"5885","m1","m10_script4_ipad_office2.wav.png","m10_script4_ipad_confroom1.wav.png",0.9492925
"31966","f6","f6_script1_ipad_office2.wav.png","f6_script1_ipad_confroom1.wav.png",0.9492625
"30409","f7","f7_script2_ipad_office2.wav.png","f7_script2_ipad_confroom1.wav.png",0.9492425
"36798","f1","f10_script1_ipad_office1.wav.png","f10_script1_ipadflat_office1.wav.png",0.9492275
"11670","m7","m7_script2_ipad_bedroom1.wav.png","m7_script2_ipad_livingroom1.wav.png",0.9491825
"35510","f1","f1_script5_ipadflat_office1.wav.png","f1_script5_ipad_office1.wav.png",0.9491375
"23110","m2","m2_script4_ipad_confroom2.wav.png","m2_script4_ipad_bedroom1.wav.png",0.9490325
"14496","f4","f4_script1_iphone_bedroom1.wav.png","f4_script1_iphone_livingroom1.wav.png",0.949025
"40801","f1","f10_script5_ipadflat_confroom1.wav.png","f10_script5_ipad_confroom1.wav.png",0.9489625
"34247","f1","f1_script1_iphone_balcony1.wav.png","f1_script1_ipad_balcony1.wav.png",0.94894
"25581","m3","m3_script1_ipad_bedroom1.wav.png","m3_script1_ipad_livingroom1.wav.png",0.9487325
"938","m8","m8_script4_ipad_confroom1.wav.png","m8_script4_ipadflat_confroom1.wav.png",0.9487125
"28598","f9","f9_script1_ipadflat_office1.wav.png","f9_script1_ipad_office1.wav.png",0.9486675
"7071","m1","m1_script4_ipad_confroom1.wav.png","m1_script4_ipad_livingroom1.wav.png",0.9485175
"888","m8","m8_script1_iphone_livingroom1.wav.png","m8_script1_iphone_bedroom1.wav.png",0.948515
"2973","m1","m10_script4_ipad_balcony1.wav.png","m10_script4_iphone_balcony1.wav.png",0.9484825
"17019","f3","f3_script3_ipad_confroom1.wav.png","f3_script3_ipad_office2.wav.png",0.9484475
"23899","m2","m2_script2_ipad_confroom1.wav.png","m2_script2_ipad_livingroom1.wav.png",0.94839
"11171","m7","m7_script1_iphone_bedroom1.wav.png","m7_script1_iphone_livingroom1.wav.png",0.94833
